step,rz,Epot,Epot00,prob_atom_crd[2],prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
89,0.59218,-3341.02,0.192199,0.518255,0.504555,-7.54451,100,-4207.73,866.708,640.539,1134.84,-6433.05,449.937,1140.28,-273.569
90,0.605462,-3340.99,0.223876,0.531543,0.859686,-6.86239,100,-4207.21,866.219,641.402,1134.43,-6432.9,449.855,1139.55,-273.331
91,0.618757,-3340.93,0.283253,0.544832,0.485817,-6.18964,100,-4207.08,866.145,641.846,1134.29,-6432.95,449.741,1139.46,-273.313
92,0.632041,-3340.71,0.502257,0.55812,0.31291,-5.79028,100,-4207.18,866.468,641.421,1134.43,-6432.89,449.861,1139.79,-273.326
93,0.645335,-3340.82,0.39676,0.571409,0.49075,-5.38845,100,-4206.59,865.767,641.609,1134.42,-6432.63,450.016,1138.99,-273.219
94,0.65856,-3340.96,0.256533,0.584698,-0.136372,-5.21126,100,-4207.2,866.238,641.427,1134.42,-6432.9,449.855,1139.57,-273.333
95,0.671911,-3340.76,0.458779,0.597986,0.481204,-5.03884,100,-4206.72,865.961,641.803,1134.41,-6432.82,449.887,1139.56,-273.604
96,0.685325,-3340.88,0.338015,0.611275,0.563722,-4.51638,100,-4207.21,866.327,641.431,1134.41,-6432.91,449.858,1139.66,-273.33
97,0.698487,-3341.14,0.076492,0.624563,0.301059,-4.08399,100,-4206.98,865.838,641.823,1133.98,-6432.63,449.847,1138.95,-273.108
98,0.711795,-3340.85,0.36255,0.637852,1.28843,-3.28924,100,-4207.19,866.338,641.439,1134.41,-6432.9,449.863,1139.67,-273.331
99,0.725064,-3340.85,0.370431,0.65114,0.458438,-2.4158,100,-4206.32,865.471,643.093,1133.35,-6432.5,449.746,1138.51,-273.042
