step,T,Epot,Efull,SolventMolsThroughZ,
1.34e-012,155.008,-12007.7,-9867.58,0,
1.345e-012,156.052,-12019.8,-9865.27,0,
1.35e-012,156.247,-12023.5,-9866.31,0,
1.355e-012,157.854,-12020.1,-9840.72,0,
1.36e-012,158.776,-12013.8,-9821.67,0,
1.365e-012,159.044,-12001.8,-9805.95,0,
1.37e-012,158.577,-11979.2,-9789.9,0,
1.375e-012,157.799,-11948.9,-9770.34,0,
1.38e-012,157.691,-11925.1,-9747.96,0,
1.385e-012,158.297,-11912.5,-9727.04,0,
1.39e-012,158.743,-11900.7,-9709.03,0,
1.395e-012,159.065,-11889,-9692.94,0,
1.4e-012,159.391,-11879.1,-9678.47,0,
1.405e-012,161.457,-11868.3,-9639.22,0,
1.41e-012,162.409,-11850.2,-9607.98,0,
1.415e-012,162.899,-11829.2,-9580.15,0,
1.42e-012,163.632,-11814.4,-9555.3,0,
1.425e-012,164.539,-11806.5,-9534.88,0,
1.43e-012,164.947,-11795.5,-9518.17,0,
1.435e-012,165.075,-11781.7,-9502.59,0,
1.44e-012,165.545,-11773.9,-9488.36,0,
1.445e-012,166.473,-11775.9,-9477.55,0,
1.45e-012,167.869,-11790.4,-9472.78,0,
1.455e-012,171.036,-11810.4,-9449.04,0,
1.46e-012,172.811,-11824.3,-9438.4,0,
1.465e-012,173.721,-11833,-9434.59,0,
1.47e-012,174.692,-11847.3,-9435.49,0,
1.475e-012,175.243,-11860.3,-9440.84,0,
1.48e-012,174.482,-11855,-9446.09,0,
1.485e-012,172.886,-11831.9,-9445.03,0,
1.49e-012,171.203,-11798.9,-9435.21,0,
1.495e-012,170.307,-11769.6,-9418.31,0,
1.5e-012,169.68,-11740.4,-9397.81,0,
1.505e-012,170.757,-11704.9,-9347.38,0,
1.51e-012,171.473,-11668.5,-9301.07,0,
1.515e-012,172.852,-11646.5,-9260.01,0,
1.52e-012,174.197,-11631.4,-9226.38,0,
1.525e-012,175.05,-11615.2,-9198.47,0,
1.53e-012,175.69,-11600.1,-9174.46,0,
1.535e-012,175.815,-11580.1,-9152.77,0,
1.54e-012,175.159,-11548.1,-9129.83,0,
1.545e-012,174.514,-11512.5,-9103.16,0,
1.55e-012,174.033,-11476.5,-9073.75,0,
1.555e-012,175.807,-11442.9,-9015.72,0,
1.56e-012,178.676,-11436.2,-8969.32,0,
1.565e-012,181.514,-11444.5,-8938.43,0,
1.57e-012,182.819,-11443,-8918.98,0,
1.575e-012,182.935,-11428.7,-8903.01,0,
1.58e-012,182.982,-11413.4,-8887.11,0,
1.585e-012,184.061,-11414.5,-8873.35,0,
1.59e-012,186.135,-11438,-8868.21,0,
1.595e-012,187.605,-11462.9,-8872.79,0,
1.6e-012,187.69,-11473.2,-8881.92,0,
1.605e-012,189.114,-11474,-8863.06,0,
1.61e-012,190.783,-11485.9,-8851.86,0,
1.615e-012,192.035,-11500.2,-8848.97,0,
1.62e-012,192.511,-11508.2,-8850.36,0,
1.625e-012,193.03,-11519.2,-8854.2,0,
1.63e-012,193.063,-11525.6,-8860.1,0,
1.635e-012,192.42,-11520.6,-8864.03,0,
1.64e-012,192.453,-11523,-8865.96,0,
1.645e-012,192.506,-11526.6,-8868.82,0,
1.65e-012,191.598,-11514.9,-8869.65,0,
1.655e-012,192.369,-11494.4,-8838.48,0,
1.66e-012,193.363,-11481.1,-8811.43,0,
1.665e-012,194.6,-11477,-8790.34,0,
1.67e-012,195.471,-11473.8,-8775.04,0,
1.675e-012,195.736,-11465.2,-8762.8,0,
1.68e-012,195.612,-11451.5,-8750.78,0,
1.685e-012,195.768,-11441.4,-8738.54,0,
1.69e-012,196.478,-11441.2,-8728.55,0,
1.695e-012,196.549,-11435,-8721.36,0,
1.7e-012,196.118,-11421.1,-8713.42,0,
1.705e-012,198.011,-11411.5,-8677.72,0,
1.71e-012,200.175,-11416.4,-8652.69,0,
1.715e-012,202.462,-11434.8,-8639.56,0,
1.72e-012,204.195,-11456.6,-8637.48,0,
1.725e-012,203.898,-11455.1,-8639.99,0,
1.73e-012,202.991,-11440.1,-8637.58,0,
1.735e-012,203.048,-11435.7,-8632.37,0,
1.74e-012,202.798,-11427.3,-8627.45,0,
1.745e-012,201.208,-11395.8,-8617.86,0,
1.75e-012,200.238,-11364.9,-8600.34,0,
1.755e-012,202.774,-11355.4,-8555.84,0,
1.76e-012,204.204,-11342,-8522.72,0,
1.765e-012,203.62,-11303.4,-8492.2,0,
1.77e-012,203.368,-11265.7,-8457.99,0,
1.775e-012,204.813,-11254.4,-8426.73,0,
1.78e-012,206.269,-11251.8,-8404.03,0,
1.785e-012,206.325,-11234.5,-8385.98,0,
1.79e-012,205.96,-11209.6,-8366.03,0,
1.795e-012,206.527,-11198.1,-8346.71,0,
1.8e-012,206.822,-11185.1,-8329.7,0,
1.805e-012,208.677,-11168,-8286.97,0,
1.81e-012,210.141,-11153.6,-8252.35,0,
1.815e-012,212.063,-11154.2,-8226.44,0,
1.82e-012,213.765,-11161.6,-8210.28,0,
1.825e-012,215.671,-11180.6,-8203.01,0,
1.83e-012,217.057,-11202.1,-8205.32,0,
1.835e-012,216.607,-11200.9,-8210.41,0,
1.84e-012,216.091,-11195.1,-8211.71,0,
1.845e-012,217.007,-11210,-8213.91,0,
1.85e-012,217.719,-11227.2,-8221.32,0,
1.855e-012,219.09,-11227.9,-8203.1,0,
1.86e-012,218.918,-11210.6,-8188.15,0,
1.865e-012,218.594,-11189,-8171.02,0,
1.87e-012,219.626,-11187.5,-8155.3,0,
1.875e-012,221.025,-11197.9,-8146.35,0,
1.88e-012,222.232,-11212.9,-8144.71,0,
1.885e-012,222.306,-11216.8,-8147.57,0,
1.89e-012,221.925,-11213.1,-8149.14,0,
1.895e-012,222.104,-11215.7,-8149.31,0,
1.9e-012,222.591,-11224.1,-8150.91,0,
1.905e-012,225.392,-11241.7,-8129.93,0,
1.91e-012,226.757,-11251.2,-8120.52,0,
1.915e-012,227.029,-11249.4,-8115,0,
1.92e-012,226.823,-11241.2,-8109.59,0,
1.925e-012,226.802,-11234.8,-8103.46,0,
1.93e-012,225.369,-11206.4,-8094.94,0,
1.935e-012,222.807,-11151.3,-8075.19,0,
1.94e-012,221.585,-11103.7,-8044.42,0,
1.945e-012,223.279,-11096.8,-8014.2,0,
1.95e-012,225.793,-11113.3,-7995.95,0,
1.955e-012,228.922,-11122.2,-7961.68,0,
1.96e-012,230.512,-11121.9,-7939.41,0,
1.965e-012,231.745,-11124,-7924.44,0,
1.97e-012,231.625,-11111.3,-7913.44,0,
1.975e-012,230.046,-11073.6,-7897.56,0,
1.98e-012,229.365,-11041.5,-7874.87,0,
1.985e-012,231.537,-11051.7,-7855.06,0,
1.99e-012,234.933,-11094.3,-7850.77,0,
