frame(num),distance (nm)
1103.000000,-1.141188
1104.000000,-1.144417
1105.000000,-1.146618
1106.000000,-1.146768
1107.000000,-1.163556
1108.000000,-1.152335
1109.000000,-1.146791
1110.000000,-1.151552
1111.000000,-1.154274
1112.000000,-1.161977
1113.000000,-1.164380
1114.000000,-1.174357
1115.000000,-1.164336
1116.000000,-1.180721
1117.000000,-1.167558
1118.000000,-1.168614
1119.000000,-1.173476
1120.000000,-1.171513
1121.000000,-1.179384
1122.000000,-1.170226
1123.000000,-1.169907
1124.000000,-1.170184
1125.000000,-1.171472
1126.000000,-1.176044
1127.000000,-1.177959
1128.000000,-1.175677
1129.000000,-1.180720
1130.000000,-1.164383
1131.000000,-1.168692
1132.000000,-1.176182
1133.000000,-1.170344
1134.000000,-1.177770
1135.000000,-1.183899
1136.000000,-1.174642
1137.000000,-1.179872
1138.000000,-1.174194
1139.000000,-1.182148
1140.000000,-1.175829
1141.000000,-1.180662
1142.000000,-1.176435
1143.000000,-1.177738
1144.000000,-1.175667
1145.000000,-1.178065
1146.000000,-1.175439
1147.000000,-1.169441
1148.000000,-1.174765
1149.000000,-1.175462
1150.000000,-1.153979
1151.000000,-1.178179
1152.000000,-1.166579
1153.000000,-1.160024
1154.000000,-1.161103
1155.000000,-1.158745
1156.000000,-1.162334
1157.000000,-1.165709
1158.000000,-1.157410
1159.000000,-1.155356
1160.000000,-1.170713
1161.000000,-1.173411
1162.000000,-1.168469
1163.000000,-1.177253
1164.000000,-1.181883
1165.000000,-1.155261
1166.000000,-1.167156
1167.000000,-1.172494
1168.000000,-1.166991
1169.000000,-1.176470
1170.000000,-1.171870
1171.000000,-1.180575
1172.000000,-1.169492
1173.000000,-1.169834
1174.000000,-1.164721
1175.000000,-1.168822
1176.000000,-1.172404
1177.000000,-1.168849
1178.000000,-1.173415
1179.000000,-1.174768
1180.000000,-1.161050
1181.000000,-1.172613
1182.000000,-1.166775
1183.000000,-1.168928
1184.000000,-1.181751
1185.000000,-1.186988
1186.000000,-1.187227
1187.000000,-1.185915
1188.000000,-1.184324
1189.000000,-1.183712
1190.000000,-1.185347
1191.000000,-1.193337
1192.000000,-1.193062
1193.000000,-1.182713
1194.000000,-1.191669
1195.000000,-1.183817
1196.000000,-1.183395
1197.000000,-1.185550
1198.000000,-1.184117
1199.000000,-1.192816
1200.000000,-1.181548
1201.000000,-1.190859
1202.000000,-1.192440
1203.000000,-1.194208
1204.000000,-1.185925
1205.000000,-1.194443
1206.000000,-1.194218
1207.000000,-1.188732
1208.000000,-1.195044
1209.000000,-1.197030
1210.000000,-1.188796
1211.000000,-1.194003
1212.000000,-1.196978
1213.000000,-1.204351
1214.000000,-1.194858
1215.000000,-1.202135
1216.000000,-1.201220
1217.000000,-1.193686
1218.000000,-1.206934
1219.000000,-1.207849
1220.000000,-1.206579
1221.000000,-1.195618
1222.000000,-1.204708
1223.000000,-1.203150
1224.000000,-1.206330
1225.000000,-1.196533
1226.000000,-1.205019
1227.000000,-1.212154
1228.000000,-1.195847
1229.000000,-1.204321
1230.000000,-1.208436
1231.000000,-1.205072
1232.000000,-1.215251
1233.000000,-1.218440
1234.000000,-1.213273
1235.000000,-1.219766
1236.000000,-1.210091
1237.000000,-1.224885
1238.000000,-1.227399
1239.000000,-1.232027
1240.000000,-1.225641
1241.000000,-1.229531
1242.000000,-1.218699
1243.000000,-1.230649
1244.000000,-1.222886
1245.000000,-1.214781
