"Angle"	"Energy kJ/mol"	"BondedTermsEnergy"	"NonBondedTermsEnergy"	"BondStretchEnergy"	"AngleStretchEnergy"	"TorsionEnergy"	"OutOfPlaneEnergy"	"DispersionEnergy"	"ElectrostaticEnergy"	"NonBondedEnergyC"	"NonBondedEnergyD"	Angle(1 0 2)	Angle-opt(1 0 2)	Angle(1 0 3)	Angle-opt(1 0 3)	Angle(1 0 4)	Angle-opt(1 0 4)	Angle(2 0 3)	Angle-opt(2 0 3)	Angle(2 0 4)	Angle-opt(2 0 4)	Angle(3 0 4)	Angle-opt(3 0 4)
8.300000	6.295961	6.295961	0.000000	0.000000	6.295961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.771218	9.088630	109.471220	0.788632	105.176405	-3.506183	105.176406	-3.506182
8.333333	6.345434	6.345434	0.000000	0.000000	6.345434	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.804551	9.121963	109.471220	0.788632	105.158632	-3.523956	105.158630	-3.523958
8.366667	6.395112	6.395112	0.000000	0.000000	6.395112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.837885	9.155297	109.471220	0.788632	105.140853	-3.541735	105.140852	-3.541736
8.400000	6.444993	6.444993	0.000000	0.000000	6.444993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.871219	9.188631	109.471220	0.788632	105.123071	-3.559517	105.123068	-3.559520
8.433333	6.495079	6.495079	0.000000	0.000000	6.495079	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.904552	9.221964	109.471220	0.788632	105.105284	-3.577304	105.105285	-3.577303
8.466667	6.545366	6.545366	0.000000	0.000000	6.545366	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.937884	9.255296	109.471220	0.788632	105.087497	-3.595091	105.087494	-3.595094
8.500000	6.595860	6.595860	0.000000	0.000000	6.595860	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	117.971217	9.288629	109.471220	0.788632	105.069704	-3.612884	105.069701	-3.612887
8.533333	6.646561	6.646561	0.000000	0.000000	6.646561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	118.004552	9.321964	109.471220	0.788632	105.051906	-3.630682	105.051903	-3.630685
8.566667	6.697462	6.697462	0.000000	0.000000	6.697462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	118.037883	9.355295	109.471220	0.788632	105.034107	-3.648481	105.034102	-3.648486
8.600000	6.748569	6.748569	0.000000	0.000000	6.748569	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	118.071216	9.388628	109.471220	0.788632	105.016302	-3.666286	105.016299	-3.666289
8.633333	6.799883	6.799883	0.000000	0.000000	6.799883	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	118.104550	9.421962	109.471220	0.788632	104.998492	-3.684096	104.998492	-3.684096
8.666667	6.851402	6.851402	0.000000	0.000000	6.851402	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	118.137885	9.455297	109.471220	0.788632	104.980683	-3.701905	104.980675	-3.701913
8.700000	6.903124	6.903124	0.000000	0.000000	6.903124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	118.171218	9.488630	109.471220	0.788632	104.962865	-3.719723	104.962863	-3.719725
8.733333	6.955051	6.955051	0.000000	0.000000	6.955051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	118.204551	9.521963	109.471220	0.788632	104.945046	-3.737542	104.945043	-3.737545
8.766667	7.007182	7.007182	0.000000	0.000000	7.007182	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.471222	0.788634	109.471223	0.788635	118.237884	9.555296	109.471220	0.788632	104.927225	-3.755363	104.927219	-3.755369
