step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,
1.455e-012,165.722,-8212.53,-7885.97,0,1,-0.0533262,
1.46e-012,166.617,-8208.98,-7880.65,0,1,-0.0537132,
1.465e-012,169.062,-8208.23,-7875.08,0,1,-0.0539292,
1.47e-012,174.076,-8216.47,-7873.44,0,1,-0.0544418,
1.475e-012,177.111,-8223.48,-7874.48,0,1,-0.0554557,
1.48e-012,176.341,-8224.65,-7877.16,0,1,-0.0566071,
1.485e-012,172.313,-8217.6,-7878.05,0,1,-0.0576505,
1.49e-012,167.521,-8205.05,-7874.94,0,1,-0.058752,
1.495e-012,164.417,-8193.15,-7869.16,0,1,-0.0599714,
1.5e-012,163.79,-8185.22,-7862.46,0,1,-0.0610549,
1.505e-012,164.732,-8175.8,-7851.19,0,1,-0.0618907,
1.51e-012,167.233,-8170.7,-7841.16,0,1,-0.0627451,
1.515e-012,174.479,-8179.36,-7835.54,0,1,-0.0639253,
1.52e-012,182.656,-8195.43,-7835.5,0,1,-0.0653854,
1.525e-012,190.205,-8215.06,-7840.26,0,1,-0.0668133,
1.53e-012,192.297,-8228.05,-7849.12,0,1,-0.0680751,
1.535e-012,190.657,-8234.57,-7858.88,0,1,-0.069288,
1.54e-012,186.302,-8233.09,-7865.97,0,1,-0.0703293,
1.545e-012,183.772,-8231.26,-7869.13,0,1,-0.0707487,
1.55e-012,181.813,-8230.52,-7872.25,0,1,-0.070475,
1.555e-012,179.3,-8222.72,-7869.4,0,1,-0.0700248,
1.56e-012,172.672,-8202.57,-7862.31,0,1,-0.0695889,
1.565e-012,167.637,-8180.62,-7850.28,0,1,-0.0686168,
1.57e-012,163.267,-8157.65,-7835.92,0,1,-0.0668759,
1.575e-012,162.448,-8138.62,-7818.51,0,1,-0.0650943,
1.58e-012,170.716,-8139.89,-7803.49,0,1,-0.0637935,
1.585e-012,182.874,-8156.67,-7796.31,0,1,-0.0624776,
1.59e-012,183.349,-8156.24,-7794.94,0,1,-0.0607841,
1.595e-012,178.906,-8144.79,-7792.25,0,1,-0.0592516,
1.6e-012,171.535,-8123.18,-7785.16,0,1,-0.0581488,
1.605e-012,168.333,-8100.66,-7768.95,0,1,-0.0568322,
1.61e-012,170.159,-8086.15,-7750.85,0,1,-0.0550081,
1.615e-012,180.481,-8093.36,-7737.71,0,1,-0.0532399,
1.62e-012,195.614,-8119.56,-7734.09,0,1,-0.0516626,
1.625e-012,207.111,-8149.05,-7740.93,0,1,-0.0496199,
1.63e-012,215.625,-8180.57,-7755.67,0,1,-0.0471141,
1.635e-012,215.595,-8198.47,-7773.63,0,1,-0.0450214,
1.64e-012,211.911,-8208.4,-7790.82,0,1,-0.0436918,
1.645e-012,203.466,-8204.11,-7803.18,0,1,-0.0425827,
1.65e-012,197.23,-8197.84,-7809.19,0,1,-0.0413998,
1.655e-012,190.41,-8181.93,-7806.72,0,1,-0.0404023,
1.66e-012,187.599,-8169.36,-7799.69,0,1,-0.0395978,
1.665e-012,186.863,-8159.65,-7791.43,0,1,-0.0386053,
1.67e-012,187.122,-8151.56,-7782.83,0,1,-0.0372571,
1.675e-012,192.855,-8156.78,-7776.75,0,1,-0.0357233,
1.68e-012,197.526,-8163.55,-7774.32,0,1,-0.033997,
1.685e-012,199.652,-8168.57,-7775.14,0,1,-0.0320253,
1.69e-012,199.573,-8169.27,-7776.01,0,1,-0.0300804,
1.695e-012,203.874,-8180.31,-7778.57,0,1,-0.0285089,
1.7e-012,205.796,-8189.33,-7783.8,0,1,-0.027202,
1.705e-012,206.937,-8193.79,-7786.01,0,1,-0.0258843,
1.71e-012,198.799,-8177.07,-7785.33,0,1,-0.0246404,
1.715e-012,188.396,-8149.54,-7778.3,0,1,-0.0236286,
1.72e-012,178.811,-8115.39,-7763.03,0,1,-0.0226022,
1.725e-012,179.173,-8096.66,-7743.59,0,1,-0.0212266,
1.73e-012,189.289,-8101.36,-7728.36,0,1,-0.0196048,
1.735e-012,195.064,-8103.6,-7719.21,0,1,-0.0179706,
1.74e-012,197.499,-8101.88,-7712.7,0,1,-0.0164405,
1.745e-012,197.38,-8095.63,-7706.69,0,1,-0.0151636,
1.75e-012,197.385,-8091.59,-7702.64,0,1,-0.0144296,
1.755e-012,197.811,-8083.39,-7693.6,0,1,-0.0139995,
1.76e-012,199.723,-8079.11,-7685.55,-1,0,-0.0133788,
1.765e-012,198.809,-8069.42,-7677.66,-1,0,-0.0127691,
1.77e-012,200.499,-8064.58,-7669.49,-1,0,-0.0127752,
1.775e-012,204.748,-8067.39,-7663.92,-1,0,-0.0131928,
1.78e-012,206.15,-8067.24,-7661.01,-1,0,-0.0133336,
1.785e-012,206.833,-8066.34,-7658.76,-1,0,-0.0133616,
1.79e-012,200.288,-8049.3,-7654.62,-1,0,-0.0138366,
1.795e-012,194.887,-8029.07,-7645.03,-1,0,-0.0144612,
1.8e-012,196.435,-8021.39,-7634.31,-1,0,-0.0146281,
1.805e-012,211.61,-8040.9,-7623.92,-1,0,-0.0147817,
1.81e-012,231.488,-8084.05,-7627.9,-1,0,-0.0156818,
1.815e-012,243.569,-8124.22,-7644.25,-1,0,-0.0169769,
1.82e-012,246.776,-8152.82,-7666.53,-1,0,-0.0179551,
1.825e-012,243.775,-8169.25,-7688.88,-1,0,-0.0189813,
1.83e-012,234.559,-8168.51,-7706.3,-1,0,-0.0205935,
1.835e-012,223.443,-8156.69,-7716.39,-1,0,-0.0221951,
1.84e-012,213.614,-8139.75,-7718.82,0,1,-0.0230699,
1.845e-012,203.29,-8113.63,-7713.04,0,1,-0.0236511,
1.85e-012,196.526,-8087.9,-7700.64,0,1,-0.0245459,
1.855e-012,197.764,-8071.69,-7681.99,0,1,-0.0254429,
1.86e-012,202.537,-8066.13,-7667.02,0,1,-0.0261129,
1.865e-012,205.497,-8059.2,-7654.26,0,1,-0.0270558,
1.87e-012,213.564,-8065.62,-7644.79,0,1,-0.0284112,
1.875e-012,219.383,-8073.51,-7641.2,0,1,-0.0295282,
1.88e-012,221.623,-8076.69,-7639.98,1,2,-0.03024,
1.885e-012,222.728,-8079.77,-7640.87,1,2,-0.0310619,
1.89e-012,224.304,-8083.77,-7641.77,1,2,-0.0321447,
1.895e-012,223.954,-8086.25,-7644.94,1,2,-0.0330808,
1.9e-012,229.122,-8098.9,-7647.4,1,2,-0.0337291,
1.905e-012,230.494,-8104.04,-7649.84,1,2,-0.0343186,
1.91e-012,226.076,-8096.69,-7651.2,1,2,-0.0350694,
1.915e-012,215.534,-8071.69,-7646.97,1,2,-0.0360739,
1.92e-012,208.472,-8046.35,-7635.55,1,2,-0.0373473,
1.925e-012,201.764,-8016.13,-7618.55,1,2,-0.0387518,
1.93e-012,202.062,-7996.9,-7598.72,1,2,-0.040092,
