t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
1313.500000,298.000000,301.535441,33.631108,168.745070,-60.190052,-669.776389,114.689568,534.168734,-708.846208,1139.367096,492.838934
1314.000000,298.000000,302.001978,43.638258,147.082137,-56.314224,-729.674672,51.979223,448.204763,-691.417163,1197.092939,547.665178
1314.500000,298.000000,302.200104,51.158549,124.889199,-48.125063,-780.016459,-1.344833,360.015358,-667.472786,1249.598945,596.691452
1315.000000,298.000000,302.236395,55.740524,103.570108,-37.215591,-824.672584,-45.485784,270.783919,-637.325046,1299.153480,639.650791
1315.500000,298.000000,302.234811,57.324202,84.320242,-25.347967,-862.499393,-80.803741,181.541809,-599.962361,1348.311951,676.557698
1316.000000,298.000000,302.280427,56.222550,68.004085,-14.254615,-892.172022,-107.758858,93.134156,-555.350267,1399.818613,707.693040
1316.500000,298.000000,302.390438,53.094567,55.073122,-5.449973,-915.673496,-126.860779,6.220318,-500.549969,1456.512574,733.578852
1317.000000,298.000000,302.521247,48.825997,45.531955,-0.066857,-931.254173,-138.627267,-78.691720,-437.131725,1521.213970,754.948758
1317.500000,298.000000,302.602651,44.413801,38.958241,1.246081,-949.994989,-143.549179,-161.190083,-361.485648,1596.623454,772.710046
1318.000000,298.000000,302.578561,40.837529,34.577934,-1.603574,-965.529705,-142.079318,-240.906869,-268.398137,1685.215106,787.896610
1318.500000,298.000000,302.434936,38.909554,31.379128,-8.154074,-982.421654,-134.620313,-317.481538,-162.967568,1789.144467,801.617822
1319.000000,298.000000,302.205020,39.183323,28.255778,-17.444976,-997.924032,-121.529176,-390.551910,-40.379131,1910.151199,815.004500
1319.500000,298.000000,301.951817,41.875800,24.164617,-28.136514,-1015.010858,-103.115712,-459.763323,96.717300,2049.476590,829.153686
1320.000000,298.000000,301.739103,46.868203,18.271182,-38.662880,-1035.875998,-79.651966,-524.796564,251.440339,2207.790776,845.079209
