step,T,Epot,Efull,SolventMolsThroughZ,
2.16e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.165e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.17e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.175e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.18e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.185e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.19e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.195e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.2e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.205e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.21e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.215e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.22e-012,1.#QNAN,1.#QNAN,1.#QNAN,
2.225e-012,1.#QNAN,1.#QNAN,1.#QNAN,
