t,temperature,ConvEKinTemp(ekin),sum_vel[0],sum_vel[1],sum_vel[2],sum_fup[0],sum_fup[1],sum_fup[2],sum_fdw[0],sum_fdw[1],sum_fdw[2]
60.000000,298.000000,374.579942,-51.906369,39.254021,500.106382,91.503620,2807.422022,-1070.267758,-2066.527805,-3722.305575,-2108.610721
60.500000,298.000000,375.349674,-50.086310,41.799743,536.712635,102.782770,2876.610455,-1049.822640,-1879.786131,-3544.557011,-2125.723209
61.000000,298.000000,373.807832,-44.469622,44.908451,570.744599,127.705141,2960.496826,-1030.412025,-1685.337136,-3367.125467,-2125.181878
61.500000,298.000000,370.951241,-34.899320,48.165177,598.954426,164.339085,3057.172585,-1012.966071,-1491.836672,-3197.394388,-2105.786287
62.000000,298.000000,368.370834,-21.570530,51.137085,618.926470,212.729247,3164.628173,-1001.669034,-1303.928305,-3042.668398,-2059.956246
62.500000,298.000000,367.522743,-5.016652,53.415297,629.204808,271.561373,3280.860595,-996.480093,-1125.327007,-2909.894762,-2002.635162
63.000000,298.000000,369.047303,13.941984,54.660488,629.470007,340.470651,3403.963711,-998.107140,-960.225259,-2805.381092,-1927.937382
63.500000,298.000000,372.466359,34.242774,54.634459,620.705728,415.206342,3532.206587,-1006.699618,-813.201850,-2734.502059,-1838.485644
64.000000,298.000000,376.410678,54.710783,53.222479,604.845435,496.796373,3664.113495,-1023.388369,-689.393293,-2701.490113,-1735.413222
64.500000,298.000000,379.257223,74.172041,50.440020,584.669170,581.011497,3798.512594,-1043.638895,-586.790217,-2709.313661,-1623.620736
65.000000,298.000000,379.910661,91.572163,46.426555,563.405795,667.237536,3934.567689,-1067.839745,-510.015703,-2759.632503,-1503.947595
65.500000,298.000000,378.357399,106.080703,41.427703,544.534586,754.191543,4071.793062,-1094.873810,-461.372308,-2852.827641,-1378.949841
66.000000,298.000000,375.726976,117.164450,35.780394,531.205919,839.394544,4210.005088,-1125.212280,-439.325123,-2988.089828,-1253.155750
66.500000,298.000000,373.810279,124.629272,29.880086,525.896833,923.193760,4349.247947,-1156.297567,-444.953508,-3163.529454,-1130.892523
67.000000,298.000000,374.258466,128.625209,24.145219,530.228032,1004.208780,4489.688140,-1188.225220,-475.212505,-3376.300268,-1014.033066
67.500000,298.000000,377.796235,129.604194,18.977701,544.570335,1083.983481,4631.507853,-1222.964616,-532.057266,-3622.718175,-906.868449
68.000000,298.000000,383.833979,128.253050,14.719277,568.252183,1161.526732,4774.812770,-1260.236038,-610.534293,-3898.374905,-811.665763
68.500000,298.000000,390.653063,125.414369,11.608328,599.394667,1235.547902,4919.546667,-1302.293668,-709.326305,-4198.248124,-733.123844
69.000000,298.000000,396.090670,121.962382,9.742564,635.212206,1312.339383,5065.450488,-1349.281312,-822.357030,-4516.812022,-669.410844
69.500000,298.000000,398.458667,118.699386,9.059796,672.414919,1387.234424,5212.060635,-1403.313540,-950.720054,-4848.162030,-623.708028
70.000000,298.000000,397.268655,116.250506,9.336015,707.375809,1471.288768,5358.743348,-1463.012317,-1087.545845,-5186.157486,-594.521780
70.500000,298.000000,393.450371,115.002046,10.212957,736.602756,1561.001759,5504.793308,-1527.676869,-1227.119967,-5524.590675,-586.797058
71.000000,298.000000,388.969028,115.064644,11.249480,757.225721,1658.866674,5649.541394,-1600.634103,-1367.342740,-5857.395669,-596.871390
71.500000,298.000000,385.977821,116.272476,11.981506,767.132616,1767.973122,5792.464687,-1679.501617,-1503.432825,-6178.853743,-625.459978
72.000000,298.000000,385.892998,118.204539,11.994150,765.464833,1889.671277,5933.235500,-1762.569827,-1635.505183,-6483.805243,-671.381526
72.500000,298.000000,388.795088,120.253116,10.987289,752.424196,2021.200438,6071.687396,-1849.753104,-1757.387828,-6767.833009,-730.189630
73.000000,298.000000,393.416193,121.712178,8.818984,729.346987,2161.975095,6207.685702,-1938.216040,-1869.733403,-7027.397133,-801.634712
73.500000,298.000000,397.733220,121.855528,5.524872,698.765242,2307.436220,6340.979781,-2028.410669,-1964.679648,-7259.927737,-882.323522
74.000000,298.000000,399.903968,120.040751,1.309622,663.928241,2455.180409,6471.074455,-2116.149271,-2041.914179,-7463.858822,-971.025407
74.500000,298.000000,399.133730,115.769784,-3.479092,628.449404,2602.646329,6597.181068,-2201.896504,-2098.340615,-7638.627835,-1062.470502
75.000000,298.000000,396.067208,108.774681,-8.394278,595.845645,2745.243618,6718.224507,-2283.539902,-2133.495770,-7784.640962,-1155.909956
