step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
1.125e-012,88.1788,-8224.72,-8055.36,1,1,-0.157783,235.797,-0.384461
1.13e-012,88.5602,-8225.94,-8055.85,1,1,-0.157642,236.641,-0.38328
1.135e-012,88.0536,-8225.29,-8056.17,1,1,-0.157449,237.483,-0.382095
1.14e-012,89.0072,-8228.37,-8057.41,1,1,-0.15751,238.323,-0.380905
1.145e-012,89.5602,-8230.06,-8058.05,1,1,-0.157945,239.159,-0.379712
1.15e-012,90.9651,-8234.42,-8059.71,1,1,-0.15845,239.993,-0.378514
1.155e-012,90.7296,-8234.04,-8059.78,1,1,-0.158842,240.825,-0.377312
1.16e-012,88.8632,-8229.25,-8058.57,0,0,-0.159382,241.653,-0.376106
1.165e-012,85.1709,-8218.05,-8054.46,0,0,-0.160233,242.48,-0.374895
1.17e-012,81.4013,-8204.33,-8047.99,0,0,-0.161073,243.303,-0.373681
1.175e-012,78.2209,-8189.4,-8039.16,0,0,-0.161574,244.124,-0.372462
1.18e-012,77.2817,-8177.86,-8029.43,0,0,-0.161858,244.942,-0.37124
1.185e-012,76.0318,-8164.35,-8018.32,0,0,-0.162231,245.757,-0.370013
1.19e-012,76.5736,-8154.14,-8007.07,0,0,-0.162799,246.57,-0.368782
1.195e-012,75.7273,-8141.57,-7996.13,0,0,-0.16353,247.38,-0.367547
1.2e-012,75.8186,-8130.06,-7984.44,0,0,-0.164457,248.187,-0.366308
1.205e-012,76.1957,-8116.98,-7970.64,0,0,-0.165681,248.992,-0.365065
1.21e-012,77.7314,-8105.97,-7956.68,0,0,-0.167246,249.793,-0.363818
1.215e-012,79.6078,-8096.43,-7943.53,0,0,-0.169042,250.593,-0.362567
1.22e-012,82.2734,-8090.12,-7932.1,0,0,-0.170865,251.389,-0.361312
1.225e-012,87.1979,-8092.17,-7924.7,0,0,-0.17263,252.182,-0.360053
1.23e-012,90.2592,-8093.14,-7919.79,0,0,-0.174421,252.973,-0.358791
1.235e-012,93.7119,-8097.86,-7917.87,0,0,-0.176294,253.761,-0.357524
1.24e-012,94.4218,-8099.97,-7918.62,0,0,-0.178203,254.546,-0.356253
1.245e-012,96.7865,-8106.69,-7920.8,0,0,-0.180136,255.329,-0.354978
1.25e-012,96.733,-8108.87,-7923.08,0,0,-0.182003,256.108,-0.3537
1.255e-012,101.295,-8118.36,-7923.8,0,0,-0.18351,256.885,-0.352417
1.26e-012,104.004,-8126.39,-7926.63,0,0,-0.184433,257.659,-0.351131
1.265e-012,108.119,-8138.72,-7931.06,0,0,-0.184935,258.43,-0.349841
1.27e-012,109.429,-8147.7,-7937.52,0,0,-0.185301,259.198,-0.348547
1.275e-012,111.549,-8159.53,-7945.29,0,0,-0.18558,259.963,-0.347249
1.28e-012,110.934,-8166.47,-7953.41,0,0,-0.185772,260.726,-0.345947
1.285e-012,112.197,-8177.02,-7961.52,0,0,-0.18606,261.486,-0.344641
1.29e-012,112.061,-8185.19,-7969.96,0,0,-0.186641,262.242,-0.343332
1.295e-012,113.832,-8197.26,-7978.63,0,0,-0.187587,262.996,-0.342019
1.3e-012,113.655,-8207.38,-7989.09,0,0,-0.188923,263.747,-0.340702
1.305e-012,115.936,-8219.41,-7996.74,0,0,-0.19059,264.495,-0.339382
1.31e-012,114.655,-8225.02,-8004.8,0,0,-0.192373,265.241,-0.338057
1.315e-012,112.979,-8228.78,-8011.78,0,0,-0.194179,265.983,-0.336729
1.32e-012,109.644,-8227.74,-8017.15,0,0,-0.196154,266.722,-0.335397
1.325e-012,106.63,-8224.43,-8019.63,0,0,-0.198272,267.459,-0.334062
1.33e-012,102.912,-8217.63,-8019.97,0,0,-0.200167,268.192,-0.332723
1.335e-012,101.172,-8212.72,-8018.4,0,0,-0.201655,268.923,-0.33138
1.34e-012,98.5772,-8205.06,-8015.73,0,0,-0.203006,269.65,-0.330034
1.345e-012,95.7808,-8194.53,-8010.56,0,0,-0.204478,270.375,-0.328683
1.35e-012,94.791,-8186.21,-8004.15,0,0,-0.205971,271.096,-0.32733
1.355e-012,92.7251,-8172.01,-7993.92,0,0,-0.207278,271.815,-0.325973
1.36e-012,93.465,-8162.53,-7983.01,0,0,-0.208256,272.531,-0.324612
1.365e-012,92.579,-8149.97,-7972.16,0,0,-0.208757,273.243,-0.323247
1.37e-012,93.8113,-8141.51,-7961.33,0,0,-0.208859,273.953,-0.321879
1.375e-012,94.4446,-8133.16,-7951.77,0,0,-0.208939,274.66,-0.320508
1.38e-012,96.0059,-8126.39,-7942,0,0,-0.209139,275.363,-0.319133
1.385e-012,97.2394,-8120.31,-7933.55,0,0,-0.209163,276.064,-0.317754
1.39e-012,96.6912,-8111.51,-7925.8,0,0,-0.208999,276.761,-0.316372
1.395e-012,94.7257,-8098.93,-7916.99,0,0,-0.209174,277.456,-0.314986
1.4e-012,92.7809,-8085.01,-7906.81,0,0,-0.209875,278.147,-0.313597
1.405e-012,91.8975,-8069.64,-7893.14,0,0,-0.210613,278.836,-0.312205
1.41e-012,92.3292,-8056.57,-7879.24,0,0,-0.211139,279.521,-0.310809
1.415e-012,90.1345,-8037.98,-7864.87,0,0,-0.21183,280.203,-0.30941
1.42e-012,92.8804,-8028.91,-7850.51,0,0,-0.212831,280.882,-0.308007
1.425e-012,94.6136,-8020.2,-7838.49,0,0,-0.213651,281.558,-0.306601
1.43e-012,102.205,-8025.21,-7828.91,0,0,-0.213968,282.231,-0.305192
1.435e-012,104.913,-8025.08,-7823.57,0,0,-0.213987,282.901,-0.303779
1.44e-012,108.829,-8029.51,-7820.49,0,0,-0.213869,283.568,-0.302363
1.445e-012,110.048,-8031.67,-7820.31,0,0,-0.213581,284.232,-0.300943
1.45e-012,112.114,-8036.39,-7821.06,0,0,-0.213336,284.892,-0.29952
1.455e-012,117.672,-8047.53,-7821.52,0,0,-0.213493,285.55,-0.298094
1.46e-012,121.756,-8058.18,-7824.33,0,0,-0.214093,286.204,-0.296665
