step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
1.015e-012,34.0926,-8265.79,-8200.31,0,0,-0.169053,79.5901,-0.329079
1.02e-012,33.4624,-8259.89,-8195.62,0,0,-0.169079,79.9519,-0.328681
1.025e-012,33.7382,-8255.67,-8190.87,0,0,-0.168987,80.3132,-0.32828
1.03e-012,34.1084,-8251.65,-8186.14,0,0,-0.168891,80.6741,-0.327877
1.035e-012,34.9788,-8249.64,-8182.46,0,0,-0.168875,81.0346,-0.327473
1.04e-012,35.5887,-8247.12,-8178.76,0,0,-0.168843,81.3946,-0.327067
1.045e-012,36.9723,-8246.69,-8175.68,0,0,-0.168746,81.7541,-0.326659
1.05e-012,38.0178,-8246.44,-8173.42,0,0,-0.168735,82.1132,-0.32625
1.055e-012,39.2907,-8246.61,-8171.15,0,0,-0.168891,82.4719,-0.325838
1.06e-012,40.0522,-8246.39,-8169.47,0,0,-0.169083,82.8301,-0.325425
1.065e-012,39.6157,-8243.64,-8167.55,0,0,-0.169263,83.1878,-0.32501
1.07e-012,39.888,-8242.42,-8165.81,0,0,-0.169567,83.5451,-0.324593
1.075e-012,39.4486,-8239.75,-8163.99,0,0,-0.17003,83.9019,-0.324174
1.08e-012,39.9235,-8238.77,-8162.09,0,0,-0.170496,84.2583,-0.323754
1.085e-012,40.5189,-8238.17,-8160.35,0,0,-0.170877,84.6142,-0.323332
1.09e-012,42.0841,-8240.87,-8160.04,0,0,-0.171232,84.9696,-0.322908
1.095e-012,43.4082,-8243.76,-8160.38,0,0,-0.171596,85.3246,-0.322482
1.1e-012,45.3419,-8249.92,-8162.83,0,0,-0.171923,85.6791,-0.322055
1.105e-012,47.1865,-8256.88,-8166.25,0,0,-0.172153,86.0331,-0.321625
1.11e-012,48.742,-8263.23,-8169.62,0,0,-0.172243,86.3867,-0.321194
1.115e-012,49.0178,-8267.66,-8173.51,0,0,-0.172223,86.7398,-0.320761
1.12e-012,50.0563,-8274.16,-8178.02,0,0,-0.1722,87.0924,-0.320327
1.125e-012,49.8793,-8278.23,-8182.43,0,0,-0.172199,87.4445,-0.319891
1.13e-012,50.6271,-8284.62,-8187.38,0,0,-0.172101,87.7961,-0.319452
1.135e-012,50.7954,-8290.1,-8192.54,0,0,-0.171903,88.1473,-0.319013
1.14e-012,50.9686,-8295.76,-8197.86,0,0,-0.171793,88.498,-0.318571
1.145e-012,50.2913,-8299.1,-8202.51,0,0,-0.171828,88.8482,-0.318128
1.15e-012,49.7694,-8302.55,-8206.96,0,0,-0.171834,89.1979,-0.317682
1.155e-012,48.633,-8303.19,-8209.78,0,0,-0.171754,89.5471,-0.317236
1.16e-012,47.5076,-8302.51,-8211.26,0,0,-0.17178,89.8958,-0.316787
1.165e-012,46.0142,-8299.99,-8211.61,0,0,-0.17201,90.244,-0.316337
1.17e-012,44.4188,-8296.99,-8211.67,0,0,-0.172265,90.5917,-0.315885
1.175e-012,43.1588,-8293.17,-8210.28,0,0,-0.172374,90.939,-0.315431
1.18e-012,42.8238,-8290.71,-8208.46,0,0,-0.17238,91.2857,-0.314975
1.185e-012,42.3453,-8287.09,-8205.76,0,0,-0.172404,91.6319,-0.314518
1.19e-012,42.2821,-8284.66,-8203.45,0,0,-0.172497,91.9776,-0.314059
1.195e-012,42.0307,-8281.6,-8200.87,0,0,-0.172678,92.3229,-0.313598
1.2e-012,41.9512,-8279.02,-8198.45,0,0,-0.172991,92.6676,-0.313136
1.205e-012,42.0718,-8274.89,-8194.08,0,0,-0.173486,93.0118,-0.312671
1.21e-012,41.5649,-8269.31,-8189.48,0,0,-0.174154,93.3554,-0.312206
1.215e-012,40.51,-8262.68,-8184.87,0,0,-0.174899,93.6986,-0.311738
1.22e-012,39.0996,-8253.84,-8178.75,0,0,-0.175646,94.0413,-0.311269
1.225e-012,37.8455,-8244.3,-8171.62,0,0,-0.176476,94.3834,-0.310797
1.23e-012,36.4288,-8233.7,-8163.73,0,0,-0.17748,94.725,-0.310325
1.235e-012,35.7604,-8223.99,-8155.3,0,0,-0.178555,95.0661,-0.30985
1.24e-012,35.2502,-8214.24,-8146.53,0,0,-0.179552,95.4067,-0.309374
1.245e-012,35.9224,-8206.55,-8137.56,0,0,-0.180535,95.7468,-0.308896
1.25e-012,36.1306,-8198.3,-8128.91,0,0,-0.181549,96.0863,-0.308417
1.255e-012,39.2078,-8195.38,-8120.07,0,0,-0.182343,96.4253,-0.307935
1.26e-012,42.4045,-8195.15,-8113.71,0,0,-0.182685,96.7638,-0.307452
1.265e-012,47.0986,-8200.54,-8110.08,0,0,-0.182743,97.1017,-0.306968
1.27e-012,51.2554,-8207.59,-8109.14,0,0,-0.182748,97.4391,-0.306481
1.275e-012,55.3732,-8217.64,-8111.29,0,0,-0.18263,97.776,-0.305993
1.28e-012,57.4999,-8226.54,-8116.1,0,0,-0.18234,98.1123,-0.305504
1.285e-012,58.8193,-8234.85,-8121.87,0,0,-0.182059,98.4481,-0.305012
1.29e-012,58.3316,-8240.41,-8128.38,0,0,-0.1819,98.7833,-0.304519
1.295e-012,58.1331,-8245.86,-8134.21,0,0,-0.181843,99.118,-0.304024
1.3e-012,56.3868,-8248.33,-8140.03,0,0,-0.182019,99.4522,-0.303528
1.305e-012,55.7468,-8250.67,-8143.6,0,0,-0.182557,99.7858,-0.30303
1.31e-012,55.443,-8252.37,-8145.89,0,0,-0.183271,100.119,-0.30253
1.315e-012,57.3554,-8259.35,-8149.19,0,0,-0.183966,100.451,-0.302029
1.32e-012,59.4443,-8267.9,-8153.73,0,0,-0.184825,100.783,-0.301526
1.325e-012,62.0985,-8279.52,-8160.25,0,0,-0.186006,101.115,-0.301021
1.33e-012,63.0543,-8289.15,-8168.04,0,0,-0.187226,101.446,-0.300514
1.335e-012,63.3761,-8298.4,-8176.67,0,0,-0.188215,101.776,-0.300006
1.34e-012,61.9437,-8303.43,-8184.46,0,0,-0.189128,102.106,-0.299497
1.345e-012,59.6105,-8305.08,-8190.59,0,0,-0.190155,102.435,-0.298985
1.35e-012,57.3636,-8305.43,-8195.25,0,0,-0.191174,102.763,-0.298472
1.355e-012,55.0312,-8302.18,-8196.49,0,0,-0.192044,103.091,-0.297958
1.36e-012,53.9265,-8300.54,-8196.96,0,0,-0.19278,103.419,-0.297441
1.365e-012,51.897,-8295.77,-8196.1,0,0,-0.19335,103.746,-0.296923
1.37e-012,50.2548,-8290.68,-8194.16,0,0,-0.19374,104.072,-0.296404
1.375e-012,49.337,-8285.4,-8190.64,0,0,-0.194159,104.398,-0.295883
1.38e-012,48.2013,-8279.12,-8186.54,0,0,-0.194748,104.723,-0.29536
1.385e-012,47.2237,-8273.09,-8182.39,0,0,-0.195289,105.048,-0.294835
1.39e-012,46.0803,-8265.65,-8177.15,0,0,-0.195623,105.372,-0.294309
1.395e-012,45.0512,-8257.16,-8170.63,0,0,-0.196021,105.695,-0.293782
1.4e-012,43.504,-8247.02,-8163.46,0,0,-0.196723,106.018,-0.293252
1.405e-012,43.3642,-8237.73,-8154.44,0,0,-0.197533,106.34,-0.292722
1.41e-012,43.2303,-8228.72,-8145.69,0,0,-0.19824,106.662,-0.292189
1.415e-012,43.6638,-8219.84,-8135.98,0,0,-0.19899,106.983,-0.291655
1.42e-012,45.3636,-8214.43,-8127.3,0,0,-0.199923,107.304,-0.291119
1.425e-012,46.9016,-8210.37,-8120.29,0,0,-0.200914,107.624,-0.290582
1.43e-012,49.011,-8208.42,-8114.29,0,0,-0.20188,107.943,-0.290043
1.435e-012,48.7184,-8202.94,-8109.37,0,0,-0.202882,108.262,-0.289503
1.44e-012,49.3741,-8198.76,-8103.93,0,0,-0.203856,108.58,-0.28896
1.445e-012,51.1138,-8198.44,-8100.27,0,0,-0.204672,108.897,-0.288417
1.45e-012,54.0151,-8201.76,-8098.01,0,0,-0.205445,109.214,-0.287871
1.455e-012,57.3868,-8207.35,-8097.13,0,0,-0.206406,109.531,-0.287325
1.46e-012,58.8716,-8210.64,-8097.57,0,0,-0.207537,109.847,-0.286776
1.465e-012,60.5101,-8214.99,-8098.77,0,0,-0.208621,110.162,-0.286226
1.47e-012,61.4139,-8218.63,-8100.68,0,0,-0.209504,110.476,-0.285675
1.475e-012,62.5363,-8224.32,-8104.21,0,0,-0.210158,110.79,-0.285121
1.48e-012,64.0396,-8231.45,-8108.45,0,0,-0.21063,111.103,-0.284567
1.485e-012,64.676,-8237.55,-8113.33,0,0,-0.210998,111.416,-0.28401
1.49e-012,65.8705,-8244.84,-8118.33,0,0,-0.211264,111.728,-0.283452
1.495e-012,65.9072,-8250.3,-8123.72,0,0,-0.211342,112.04,-0.282893
1.5e-012,65.282,-8254.75,-8129.36,0,0,-0.211241,112.351,-0.282332
1.505e-012,65.4889,-8260.33,-8134.55,0,0,-0.211121,112.661,-0.28177
1.51e-012,65.9327,-8264.93,-8138.29,0,0,-0.211081,112.971,-0.281205
1.515e-012,64.6785,-8267.13,-8142.9,0,0,-0.211027,113.28,-0.28064
1.52e-012,64.2277,-8269.59,-8146.23,0,0,-0.210788,113.588,-0.280073
1.525e-012,62.2518,-8268.28,-8148.71,0,0,-0.21028,113.896,-0.279504
1.53e-012,60.4076,-8265.41,-8149.39,0,0,-0.209566,114.203,-0.278934
1.535e-012,58.0771,-8260.94,-8149.39,0,0,-0.208761,114.509,-0.278362
