step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Klapan_Z,Solvent_Z,G,v_theor,v_pract
9.75e-013,201.451,-8166.02,-7779.11,0,0,-0.156517,0.490695,-475,0,-0.112931
9.8e-013,193.128,-8139.6,-7768.67,0,0,-0.1554,0.493606,-480,0,-0.11532
9.85e-013,184.35,-8109.74,-7755.67,0,0,-0.154162,0.496529,-485,0,-0.117734
9.9e-013,180.579,-8089.88,-7743.05,0,0,-0.153042,0.499448,-490,0,-0.120173
9.95e-013,177.687,-8071.9,-7730.63,0,0,-0.152328,0.50232,-495,0,-0.122636
1e-012,179.395,-8062.1,-7717.55,0,0,-0.151881,0.505043,-500,0,-0.125125
1.005e-012,181.465,-8068.77,-7720.24,0,0,-0.151459,0.507434,-505,0,-0.127639
1.01e-012,187.832,-8071.42,-7710.67,0,0,-0.151194,0.50932,-510,0,-0.130178
1.015e-012,190.128,-8072.53,-7707.36,0,0,-0.151324,0.51069,-515,0,-0.132741
1.02e-012,192.064,-8074.96,-7706.07,0,0,-0.151695,0.511699,-520,0,-0.13533
1.025e-012,191.768,-8071.91,-7703.59,0,0,-0.152036,0.512514,-525,0,-0.137944
1.03e-012,190.554,-8065.86,-7699.88,0,0,-0.152463,0.513233,-530,0,-0.140583
1.035e-012,194.048,-8068.6,-7695.91,0,0,-0.153237,0.513905,-535,0,-0.143246
1.04e-012,203.871,-8083.05,-7691.48,0,0,-0.154278,0.514549,-540,0,-0.145935
1.045e-012,213.001,-8096.43,-7687.33,0,0,-0.155317,0.515174,-545,0,-0.148649
1.05e-012,221.847,-8108.65,-7682.56,0,0,-0.156271,0.515785,-550,0,-0.151387
1.055e-012,227.197,-8115.8,-7679.43,0,0,-0.157148,0.516381,-555,0,-0.154151
1.06e-012,229.36,-8118.94,-7678.42,0,0,-0.157868,0.516963,-560,0,-0.15694
1.065e-012,225.757,-8112.68,-7679.08,0,0,-0.158463,0.51753,-565,0,-0.159754
1.07e-012,221.345,-8105.21,-7680.09,0,0,-0.159148,0.518083,-570,0,-0.162593
1.075e-012,212.339,-8090.09,-7682.26,0,0,-0.160043,0.518624,-575,0,-0.165456
1.08e-012,209.19,-8090.9,-7689.12,0,0,-0.161126,0.519148,-580,0,-0.168345
