step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],sn_f[0],sn_f[1],sn_f[2],target_crd[0],target_crd[1],target_crd[2],boundary[0],boundary[1],boundary[2]
1380,380.453,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00503029,0.0550477,-0.0351439,0.641039,0.502357,1
1390,401.428,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00483459,0.0545112,-0.0356042,0.641039,0.502357,1
1400,419.553,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00445509,0.0540453,-0.035726,0.641039,0.502357,1
1410,420.51,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00381689,0.0532695,-0.0359384,0.641039,0.502357,1
1420,408.011,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00333678,0.0525129,-0.0367789,0.640646,0.502337,1
1430,398.049,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00310356,0.052239,-0.0380434,0.640092,0.502293,1
1440,385.087,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00278483,0.0522916,-0.0392335,0.639837,0.502254,1
1450,365.991,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00231827,0.0522682,-0.0404213,0.639494,0.502185,1
1460,335.936,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00217274,0.0525895,-0.0419707,0.638755,0.502016,1
1470,311.58,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00210256,0.0533953,-0.0435032,0.637841,0.501793,1
1480,292.111,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00162807,0.0542653,-0.0443195,0.63692,0.501559,1
1490,274.802,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000825102,0.0549497,-0.0446434,0.635897,0.501304,1
1500,269.759,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000654833,0.0557399,-0.0454089,0.634826,0.501046,1
1510,284.564,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000938903,0.0563562,-0.0466612,0.633828,0.500813,1
1520,315.373,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00111805,0.0562216,-0.0477531,0.6329,0.500598,1
1530,331.236,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.000993544,0.0554702,-0.0487869,0.632089,0.5004,1
1540,331.363,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00112657,0.054786,-0.0503184,0.631466,0.500231,1
1550,326.194,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00114872,0.0541865,-0.052075,0.630898,0.500062,1
1560,336.402,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00107397,0.0530738,-0.0533138,0.630237,0.499851,1
1570,335.253,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00106024,0.0519398,-0.0541833,0.629452,0.499584,1
1580,328.791,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00139262,0.0515145,-0.0552215,0.628533,0.499265,1
1590,301.328,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00140767,0.0515341,-0.0561992,0.627419,0.498879,1
1600,278.235,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00145688,0.0513626,-0.0564789,0.626144,0.498443,1
1610,260.864,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00204011,0.0516561,-0.0563841,0.6248,0.497995,1
1620,262.458,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00316222,0.0526131,-0.0564406,0.623465,0.497563,1
1630,255.987,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00357991,0.0535932,-0.0561541,0.622222,0.497173,1
1640,260.845,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00342931,0.0540961,-0.054927,0.621157,0.496847,1
1650,260.203,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00333648,0.0548093,-0.0534467,0.62041,0.496626,1
1660,262.785,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00340419,0.0556932,-0.0525044,0.620047,0.496505,1
1670,261.088,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00294202,0.0563355,-0.0516584,0.620024,0.496496,1
1680,260.289,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00245624,0.0566257,-0.0504349,0.620024,0.496496,1
1690,265.42,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00244753,0.0572114,-0.0491811,0.620024,0.496496,1
1700,263.137,0,0,0,-3.8743e-008,1.89651e-009,0.981818,0,0,0,-0.00260612,0.0578122,-0.0482697,0.620024,0.496496,1
