tor1(deg),E(kJ/mol)
-0.297130,0.171892
-0.292359,0.174357
-0.286134,0.175742
-0.282249,0.176520
-0.281260,0.178791
-0.280401,0.180631
-0.278553,0.184742
-0.275323,0.186731
-0.270406,0.187220
-0.265451,0.187133
-0.263235,0.185933
-0.262368,0.187070
-0.263715,0.188501
-0.267010,0.189093
-0.268903,0.187451
-0.272689,0.183631
-0.276734,0.180043
-0.282449,0.176261
-0.286982,0.173551
-0.291999,0.171894
-0.295885,0.168544
-0.300006,0.168418
-0.306113,0.167392
-0.311758,0.164195
-0.318593,0.163325
-0.323619,0.161064
-0.329021,0.160371
-0.335269,0.158796
-0.339970,0.156662
-0.349733,0.151822
-0.358481,0.146621
-0.369079,0.140854
-0.380005,0.133887
-0.389011,0.129746
-0.397880,0.126595
-0.408885,0.124726
-0.418261,0.125774
-0.424532,0.121447
-0.431486,0.117839
-0.438463,0.116664
-0.442800,0.117019
-0.447934,0.116339
-0.451661,0.117593
-0.453647,0.117557
-0.455242,0.115815
-0.458595,0.116690
-0.460012,0.117177
-0.460991,0.122545
-0.461827,0.128605
-0.461286,0.131618
-0.460334,0.131874
-0.460307,0.129785
-0.461225,0.131277
-0.463189,0.135396
-0.467099,0.140877
-0.470027,0.146035
-0.472254,0.146534
-0.475061,0.148294
-0.478217,0.150476
-0.479632,0.153156
-0.483312,0.154493
-0.485478,0.156987
-0.487433,0.157348
-0.492362,0.156343
-0.493566,0.153688
-0.496414,0.153891
-0.497883,0.157308
-0.498373,0.159332
-0.498928,0.161070
-0.495856,0.159533
-0.495787,0.156920
-0.494887,0.150691
-0.491971,0.145939
-0.490493,0.143533
-0.489551,0.144679
-0.488378,0.146325
-0.485101,0.146437
-0.483579,0.148535
-0.481759,0.150125
-0.482036,0.154512
-0.480899,0.157264
-0.481216,0.160905
-0.481199,0.162658
-0.478208,0.162201
-0.472844,0.164306
-0.469129,0.163253
-0.465584,0.162350
-0.465624,0.160975
-0.461990,0.158632
-0.458931,0.153067
-0.457821,0.149625
-0.456383,0.147132
-0.453575,0.141042
-0.451027,0.136496
-0.448825,0.132290
-0.446171,0.127893
-0.442668,0.122810
-0.437328,0.116247
-0.434178,0.112491
-0.432381,0.109645
-0.431629,0.108906
-0.431656,0.107840
-0.433368,0.106591
-0.435317,0.104554
-0.435772,0.101809
-0.437011,0.098815
-0.438465,0.098095
-0.440330,0.097456
-0.439437,0.098580
-0.438788,0.101932
-0.439655,0.103715
-0.439876,0.108577
-0.439789,0.112392
-0.442868,0.116588
-0.444904,0.119161
-0.446463,0.120378
-0.448282,0.122715
-0.448948,0.123893
-0.451302,0.125872
-0.453037,0.125872
-0.454717,0.124117
-0.453808,0.120180
-0.455146,0.116694
-0.456077,0.111400
-0.454013,0.106943
-0.451687,0.104030
-0.453619,0.103752
-0.457894,0.104574
-0.461915,0.102330
-0.463947,0.100546
-0.462294,0.098252
-0.460418,0.094087
-0.458290,0.089911
-0.457667,0.086553
-0.461823,0.087760
-0.458509,0.083104
-0.455850,0.077205
-0.454367,0.074979
-0.454559,0.074200
-0.454855,0.069950
-0.458209,0.072155
-0.460394,0.071971
-0.461951,0.072311
-0.463265,0.068541
-0.463157,0.065655
-0.461653,0.065977
-0.461084,0.064941
-0.459053,0.065868
-0.456711,0.067081
-0.452257,0.067222
-0.447080,0.068804
-0.444457,0.074740
-0.439579,0.078799
-0.435285,0.085223
-0.436176,0.091460
-0.438434,0.098791
-0.442170,0.104056
-0.446070,0.108224
-0.444422,0.109814
-0.442536,0.110713
-0.441627,0.115161
-0.441789,0.118514
-0.441888,0.119496
-0.439772,0.117659
-0.441399,0.115640
-0.441262,0.114474
-0.438886,0.110885
-0.438436,0.108196
-0.435935,0.101397
-0.432906,0.093029
-0.434192,0.090043
-0.434207,0.086246
-0.430863,0.082934
-0.430154,0.081503
-0.432545,0.079228
-0.437934,0.078409
-0.442644,0.076171
-0.449077,0.072689
-0.455895,0.070703
-0.461990,0.069964
-0.466517,0.070216
-0.468902,0.071145
-0.469634,0.073891
-0.471927,0.074790
-0.474378,0.074722
-0.476107,0.076578
-0.482324,0.081984
-0.487674,0.084026
-0.490596,0.084060
-0.491399,0.083432
-0.493145,0.085449
-0.495162,0.090388
-0.497035,0.094762
-0.498160,0.095548
-0.499755,0.096017
-0.499344,0.096005
-0.501108,0.098489
-0.501405,0.098400
-0.500362,0.096200
-0.499357,0.093008
-0.499219,0.090233
-0.495608,0.085771
-0.491343,0.079708
-0.485684,0.074778
-0.479786,0.073739
-0.471916,0.072282
-0.461300,0.071793
-0.449839,0.073073
-0.438215,0.076608
-0.428230,0.082049
-0.421149,0.084922
-0.417825,0.091279
-0.410753,0.096008
-0.406017,0.098941
-0.401886,0.105466
-0.397379,0.108679
-0.392695,0.114993
-0.387476,0.121063
-0.384104,0.126082
-0.378082,0.127426
-0.375029,0.130884
-0.372839,0.132850
-0.370850,0.132434
-0.372690,0.134829
-0.374135,0.135688
-0.374035,0.137203
-0.377209,0.138266
-0.375712,0.137656
-0.377314,0.137494
-0.377487,0.138710
-0.378513,0.142014
-0.379965,0.142982
-0.381561,0.145495
-0.383705,0.148163
-0.387764,0.149278
-0.391408,0.150296
-0.395973,0.152241
-0.398012,0.153535
-0.398884,0.152667
-0.400548,0.150736
-0.401905,0.148697
-0.405397,0.149892
-0.411527,0.149387
-0.420897,0.150450
-0.430783,0.149784
