step,T,Epot,Efull,SolventMolsThroughZ,SolventMolsThroughKlap,Z_Klap,G,v
1.175e-012,96.1573,-8368.07,-8178.59,1,2,-0.0150828,10.4845,-0.0980719
1.18e-012,94.0511,-8366.01,-8180.68,1,2,-0.0148113,10.5273,-0.0980193
1.185e-012,91.6132,-8362.51,-8181.99,1,2,-0.0145856,10.57,-0.0979666
1.19e-012,89.2235,-8357.26,-8181.45,1,2,-0.0142854,10.6128,-0.0979136
1.195e-012,87.4503,-8350.52,-8178.2,1,2,-0.0138454,10.6555,-0.0978605
1.2e-012,86.0638,-8343.64,-8174.05,1,2,-0.0134146,10.6982,-0.0978071
1.205e-012,86.508,-8337.13,-8166.66,1,2,-0.0130956,10.7409,-0.0977535
1.21e-012,86.9975,-8331.27,-8159.84,1,2,-0.012769,10.7835,-0.0976997
1.215e-012,87.8131,-8325.95,-8152.91,1,2,-0.0122746,10.8262,-0.0976456
1.22e-012,87.5444,-8319.34,-8146.83,1,2,-0.0116177,10.8688,-0.0975914
1.225e-012,87.5294,-8312.9,-8140.42,1,2,-0.010951,10.9114,-0.0975369
1.23e-012,87.5444,-8306.86,-8134.35,1,2,-0.0103875,10.9539,-0.0974823
1.235e-012,89.6932,-8305.81,-8129.07,1,2,-0.00991456,10.9965,-0.0974274
1.24e-012,92.519,-8307.6,-8125.29,1,2,-0.00952585,11.039,-0.0973723
1.245e-012,96.0862,-8313.68,-8124.33,1,2,-0.00931435,11.0815,-0.097317
1.25e-012,98.9696,-8320.8,-8125.78,1,2,-0.00928497,11.1239,-0.0972615
1.255e-012,101.94,-8327.06,-8126.19,1,2,-0.00929429,11.1664,-0.0972058
1.26e-012,102.879,-8330.39,-8127.66,1,2,-0.00937292,11.2088,-0.0971498
1.265e-012,102.105,-8330.63,-8129.43,1,2,-0.00976906,11.2512,-0.0970937
1.27e-012,101.313,-8330.82,-8131.18,1,2,-0.0104735,11.2936,-0.0970373
1.275e-012,100.312,-8329.36,-8131.69,1,2,-0.0111641,11.3359,-0.0969808
1.28e-012,100,-8329.06,-8132.01,1,2,-0.0118025,11.3782,-0.096924
1.285e-012,100.179,-8329.52,-8132.11,1,2,-0.0126801,11.4205,-0.096867
1.29e-012,100.498,-8330.56,-8132.53,1,2,-0.0137791,11.4628,-0.0968098
1.295e-012,100.155,-8330.34,-8132.98,1,2,-0.014812,11.505,-0.0967523
1.3e-012,97.8877,-8325.32,-8132.42,0,1,-0.0159012,11.5473,-0.0966947
1.305e-012,95.2981,-8314.81,-8127.02,0,1,-0.0173811,11.5895,-0.0966369
1.31e-012,94.5108,-8305.91,-8119.67,0,1,-0.0190274,11.6316,-0.0965788
1.315e-012,99.9209,-8310.72,-8113.82,0,1,-0.0203447,11.6738,-0.0965206
1.32e-012,105.951,-8321.41,-8112.63,0,1,-0.0213964,11.7159,-0.0964621
1.325e-012,108.487,-8328.97,-8115.19,0,1,-0.0224704,11.758,-0.0964034
1.33e-012,107.197,-8329.46,-8118.22,0,1,-0.0233422,11.8,-0.0963445
1.335e-012,104.827,-8326.69,-8120.12,0,1,-0.02377,11.8421,-0.0962854
1.34e-012,101.183,-8318.7,-8119.32,0,1,-0.0241126,11.8841,-0.0962261
1.345e-012,98.4151,-8310.34,-8116.41,0,1,-0.0246936,11.9261,-0.0961666
1.35e-012,96.417,-8301.42,-8111.43,0,1,-0.0252288,11.968,-0.0961068
1.355e-012,97.8096,-8295.8,-8103.06,0,1,-0.0254896,12.01,-0.0960469
1.36e-012,99.7683,-8292.66,-8096.06,0,1,-0.0257542,12.0519,-0.0959867
1.365e-012,101.687,-8290.7,-8090.32,0,1,-0.026172,12.0938,-0.0959264
1.37e-012,102.981,-8289.32,-8086.4,1,2,-0.0265108,12.1356,-0.0958658
1.375e-012,103.356,-8286.79,-8083.13,1,2,-0.0267786,12.1775,-0.095805
1.38e-012,102.973,-8282.31,-8079.4,1,2,-0.0272339,12.2193,-0.095744
1.385e-012,101.074,-8274.32,-8075.14,1,2,-0.027764,12.2611,-0.0956828
1.39e-012,99.6001,-8265.85,-8069.58,1,2,-0.0280748,12.3028,-0.0956214
1.395e-012,98.1706,-8256.56,-8063.11,1,2,-0.0282975,12.3445,-0.0955598
1.4e-012,97.2257,-8247.01,-8055.42,1,2,-0.0286938,12.3862,-0.095498
1.405e-012,98.7686,-8239.76,-8045.13,1,2,-0.029141,12.4279,-0.0954359
