step,T,Epot,Efull,SolventMolsThroughZ,
2.25e-012,273.323,-1967.66,-1268.85,-1852731353,
2.255e-012,267.828,-1955.17,-1270.41,1600085492,
2.26e-012,264.088,-1937.3,-1262.11,757935041,
2.265e-012,280.775,-1982.95,-1265.09,-84215410,
2.27e-012,283.993,-2002.43,-1276.35,-926365861,
2.275e-012,282.832,-2011.17,-1288.05,-1768516312,
2.28e-012,272.379,-1989.74,-1293.35,1684300533,
2.285e-012,278.575,-2008.51,-1296.27,842150082,
2.29e-012,260.174,-1957.47,-1292.28,-369,
2.295e-012,264.997,-1956.62,-1279.1,-842150820,
2.3e-012,279.499,-1993.29,-1278.69,-1684301271,
2.305e-012,276.125,-1985.65,-1279.68,1768515574,
2.31e-012,265.202,-1951.15,-1273.11,926365123,
2.315e-012,258.586,-1922.93,-1261.8,84214672,
2.32e-012,251.225,-1886.66,-1244.35,-757935779,
2.325e-012,265.207,-1906.84,-1228.78,-1600086230,
2.33e-012,270.126,-1916.36,-1225.73,1852730615,
2.335e-012,270.723,-1920.71,-1228.55,1010580164,
2.34e-012,265.694,-1900.41,-1221.1,168429713,
2.345e-012,281.696,-1943.31,-1223.1,-673720738,
2.35e-012,274.596,-1924.65,-1222.59,-1515871189,
2.355e-012,277.523,-1924.99,-1215.44,1936945656,
2.36e-012,284.486,-1935.82,-1208.47,1094795205,
2.365e-012,282.931,-1929.42,-1206.05,252644754,
2.37e-012,288.01,-1939.12,-1202.76,-589505697,
2.375e-012,283.538,-1933.89,-1208.96,-1431656148,
