step,T,Epot,Efull,NThroughZNThroughKlap
4370,248.605,-8722.49,-8204.7,
4380,243.311,-8701.81,-8195.05,
4390,240.841,-8684.25,-8182.63,
4400,240.128,-8669.1,-8168.96,
4410,241.954,-8653.91,-8149.98,
4420,244.69,-8643.68,-8134.05,
4430,245.979,-8630.89,-8118.56,
4440,248.855,-8624.42,-8106.1,
4450,252.502,-8621.15,-8095.24,
4460,255.082,-8618.84,-8087.56,
4470,256.903,-8616.49,-8081.41,
4480,260.616,-8619.35,-8076.54,
4490,262.961,-8622.8,-8075.11,
4500,260.517,-8616.32,-8073.72,
4510,258.476,-8603.72,-8065.37,
4520,260.594,-8600.05,-8057.29,
4530,257.962,-8586.55,-8049.27,
4540,254.062,-8568.06,-8038.91,
4550,252.714,-8553.41,-8027.06,
4560,254.884,-8545.6,-8014.74,
4570,258.501,-8542.66,-8004.25,
4580,261.384,-8542.12,-7997.71,
4590,258.668,-8530.07,-7991.32,
4600,251.155,-8503.87,-7980.76,
4610,244.109,-8467.09,-7958.66,
4620,239.691,-8430.62,-7931.4,
4630,243.427,-8410.59,-7903.58,
4640,250.97,-8403.44,-7880.72,
4650,259.733,-8405.17,-7864.2,
4660,263.119,-8400.38,-7852.36,
4670,258.226,-8379.08,-7841.25,
4680,250.711,-8345.9,-7823.72,
4690,242.446,-8306.29,-7801.33,
4700,236.539,-8265.18,-7772.52,
4710,244.578,-8248.82,-7739.41,
4720,253.966,-8242.98,-7714.02,
4730,258.459,-8232.12,-7693.8,
4740,261.657,-8221.83,-7676.86,
4750,262.507,-8207.62,-7660.87,
4760,265.596,-8200.19,-7647.01,
4770,266.433,-8189.57,-7634.64,
4780,262.119,-8166.78,-7620.84,
4790,266.818,-8162.05,-7606.32,
4800,278.076,-8178.36,-7599.19,
4810,294.956,-8211.1,-7596.77,
4820,310.634,-8255.94,-7608.96,
4830,310.308,-8274.69,-7628.38,
4840,304.373,-8277.78,-7643.83,
4850,304.628,-8291.11,-7656.63,
4860,307.055,-8310.32,-7670.79,
4870,306.657,-8324.05,-7685.35,
4880,312.517,-8353.37,-7702.47,
4890,317.467,-8385.68,-7724.46,
4900,310.231,-8392.35,-7746.2,
4910,300.675,-8381.81,-7755.57,
4920,299.304,-8383.57,-7760.19,
4930,300.39,-8389.64,-7763.99,
4940,302.936,-8400.86,-7769.91,
4950,309.313,-8423.31,-7779.08,
4960,319.818,-8462.08,-7795.97,
4970,322.896,-8490.74,-7818.22,
4980,317.487,-8500.68,-7839.42,
4990,310.972,-8502.57,-7854.89,
5000,308.674,-8510.44,-7867.54,
5010,312.28,-8519.46,-7869.04,
5020,312.306,-8521.77,-7871.31,
5030,312.137,-8522.66,-7872.54,
5040,313.697,-8527.69,-7874.33,
5050,311.553,-8524.65,-7875.75,
5060,313.089,-8529.66,-7877.57,
5070,315.803,-8537.67,-7879.92,
5080,316.475,-8541.36,-7882.21,
5090,314.277,-8539.09,-7884.51,
5100,308.958,-8529.1,-7885.61,
5110,310.1,-8533.3,-7887.43,
5120,322.487,-8561.03,-7889.36,
5130,334.234,-8590.09,-7893.96,
5140,346.885,-8620.51,-7898.03,
5150,361.511,-8656.48,-7903.53,
5160,371.319,-8684.71,-7911.33,
5170,380.533,-8712.14,-7919.57,
5180,386.131,-8733.77,-7929.54,
5190,381.205,-8733.02,-7939.05,
5200,364.405,-8706.4,-7947.43,
5210,342.673,-8667.07,-7953.36,
5220,329.487,-8642.52,-7956.27,
5230,322.646,-8631.22,-7959.22,
5240,315.672,-8617.89,-7960.41,
5250,314.521,-8616.69,-7961.61,
5260,311.757,-8612.45,-7963.13,
5270,312.887,-8616.05,-7964.37,
5280,320.8,-8634.17,-7966.01,
5290,324.29,-8643.35,-7967.92,
5300,321.202,-8638.52,-7969.53,
5310,315.327,-8628.06,-7971.31,
5320,303.354,-8604.34,-7972.52,
5330,293.583,-8583.68,-7972.21,
5340,290.803,-8576.14,-7970.46,
5350,290.747,-8574.62,-7969.06,
5360,287.446,-8566.93,-7968.24,
5370,275.429,-8540.27,-7966.61,
5380,266.78,-8519.36,-7963.72,
5390,264.548,-8510.65,-7959.66,
5400,257.909,-8492.69,-7955.52,
5410,250.896,-8473.74,-7951.18,
5420,248.781,-8464.44,-7946.29,
5430,252.405,-8466.19,-7940.48,
5440,265.158,-8488.69,-7936.42,
5450,278.27,-8513.55,-7933.98,
5460,284.712,-8525.51,-7932.52,
5470,291.267,-8537.88,-7931.24,
5480,289.03,-8531.74,-7929.75,
5490,277.781,-8511.37,-7932.81,
5500,272.395,-8501.94,-7934.6,
5510,265.252,-8483.92,-7931.46,
5520,250.428,-8448.3,-7926.71,
5530,223.229,-8386.15,-7921.22,
5540,202.835,-8334.34,-7911.88,
5550,200.033,-8317.86,-7901.24,
5560,206.334,-8320.28,-7890.53,
5570,213.783,-8325.93,-7880.67,
5580,223.565,-8337.93,-7872.29,
5590,225.373,-8334.17,-7864.76,
5600,221.312,-8317.64,-7856.69,
5610,219.357,-8305.56,-7848.69,
5620,224.703,-8308.38,-7840.38,
5630,234.959,-8322.94,-7833.57,
5640,243.747,-8334.75,-7827.08,
5650,250.101,-8341.82,-7820.91,
5660,255.394,-8347.82,-7815.89,
5670,250.612,-8333.37,-7811.4,
5680,239.356,-8303.99,-7805.46,
5690,240.348,-8299.59,-7799,
5700,245.366,-8305.02,-7793.97,
5710,248.441,-8306.29,-7788.84,
5720,255.032,-8316.08,-7784.91,
5730,254.795,-8313.32,-7782.63,
5740,250.311,-8302.81,-7781.47,
5750,251.852,-8304.34,-7779.78,
5760,258.868,-8317.83,-7778.66,
5770,273.247,-8347.64,-7778.53,
5780,287.572,-8376.89,-7777.94,
5790,296.685,-8395.85,-7777.92,
5800,293.933,-8390.06,-7777.86,
5810,286.385,-8373.53,-7777.05,
5820,290.323,-8380.28,-7775.6,
5830,294.08,-8387.01,-7774.51,
5840,285.904,-8369.1,-7773.62,
5850,281.493,-8358.26,-7771.97,
5860,279.422,-8352.43,-7770.46,
5870,275.566,-8342.54,-7768.59,
5880,279.617,-8349.12,-7766.74,
5890,284.89,-8358.5,-7765.14,
5900,294.019,-8376.45,-7764.08,
5910,302.725,-8395.17,-7764.66,
5920,302.601,-8395.11,-7764.86,
5930,306.987,-8404.85,-7765.46,
5940,318.641,-8430.83,-7767.17,
5950,320.506,-8436.15,-7768.6,
5960,316.934,-8431.29,-7771.18,
5970,311.862,-8422.56,-7773.02,
5980,311.809,-8423.26,-7773.83,
5990,327.941,-8459.11,-7776.08,
6000,340.672,-8490.06,-7780.51,
6010,341.161,-8496.56,-7786,
6020,340.016,-8499.25,-7791.07,
6030,338.569,-8503.81,-7798.65,
6040,346.451,-8525.73,-7804.15,
6050,355.857,-8551.18,-7810.01,
6060,352.301,-8549.73,-7815.96,
6070,343.513,-8536.43,-7820.97,
6080,332.36,-8516.84,-7824.61,
6090,323.705,-8502.21,-7828.01,
6100,323.721,-8507.48,-7833.23,
6110,314.438,-8492.34,-7837.43,
6120,313.73,-8494.07,-7840.64,
6130,312.833,-8495.03,-7843.46,
6140,300.081,-8469.75,-7844.74,
6150,293.943,-8456.26,-7844.04,
6160,298.829,-8465.97,-7843.58,
6170,302.881,-8473.96,-7843.12,
6180,312.42,-8495.38,-7844.68,
6190,320.641,-8514.21,-7846.39,
6200,325.893,-8527.51,-7848.74,
6210,322.919,-8523.82,-7851.25,
6220,317.985,-8514.32,-7852.03,
6230,311.875,-8503.33,-7853.76,
6240,310.505,-8501.72,-7855.01,
6250,309.717,-8500.95,-7855.88,
6260,312.952,-8508.86,-7857.05,
6270,316.79,-8519.62,-7859.82,
6280,321.599,-8531.43,-7861.61,
6290,323.024,-8536.92,-7864.13,
6300,312.954,-8517.45,-7865.63,
6310,302.266,-8495,-7865.45,
6320,307.771,-8506.46,-7865.44,
6330,320.397,-8533.67,-7866.35,
6340,322.682,-8541.58,-7869.51,
6350,310.279,-8518.11,-7871.87,
6360,290.555,-8477.3,-7872.14,
6370,289.261,-8473.81,-7871.34,
6380,289.86,-8473.78,-7870.06,
6390,277.402,-8446.54,-7868.78,
6400,257.09,-8400.9,-7865.44,
6410,246.194,-8373.4,-7860.63,
6420,248.869,-8373.37,-7855.02,
6430,260.045,-8392.4,-7850.78,
6440,269.393,-8408.95,-7847.86,
6450,270.401,-8408.74,-7845.55,
6460,264.296,-8392.73,-7842.26,
6470,253.598,-8365.43,-7837.25,
6480,241.932,-8336.05,-7832.15,
6490,240.818,-8327.84,-7826.27,
6500,248.258,-8337.82,-7820.76,
6510,254.062,-8344.88,-7815.73,
6520,262.661,-8359.46,-7812.4,
6530,265.754,-8361.07,-7807.56,
6540,263.338,-8351.88,-7803.4,
6550,259.595,-8339.98,-7799.3,
6560,265.209,-8348.18,-7795.81,
6570,278.3,-8372.79,-7793.15,
6580,291.911,-8399.43,-7791.44,
6590,300.806,-8417.45,-7790.93,
6600,288.203,-8390.18,-7789.92,
6610,275.801,-8362.74,-7788.31,
6620,291.852,-8394.52,-7786.66,
6630,317.953,-8450.35,-7788.13,
6640,326.99,-8472.26,-7791.2,
6650,316.063,-8452.03,-7793.74,
6660,297.736,-8414.78,-7794.66,
6670,279.051,-8375.4,-7794.2,
6680,270.765,-8355.76,-7791.82,
6690,270.521,-8351.66,-7788.22,
6700,278.384,-8366.6,-7786.79,
6710,291.756,-8393.33,-7785.66,
6720,294.039,-8398.06,-7785.64,
6730,288.431,-8386.18,-7785.44,
6740,279.437,-8365.82,-7783.82,
6750,266.481,-8335.45,-7780.43,
6760,264.645,-8328.76,-7777.56,
6770,264.421,-8325.36,-7774.63,
6780,268.424,-8330.36,-7771.29,
6790,271.646,-8334.23,-7768.45,
6800,277.785,-8345.12,-7766.55,
6810,279.041,-8344.93,-7763.75,
6820,280.26,-8345.63,-7761.91,
6830,289.526,-8363.39,-7760.37,
6840,317.172,-8421.1,-7760.5,
6850,333.278,-8456.95,-7762.8,
6860,336.606,-8467.25,-7766.17,
6870,334.721,-8468.06,-7770.91,
6880,339.671,-8482.95,-7775.49,
6890,345.433,-8500.12,-7780.66,
6900,350.406,-8515.27,-7785.45,
