step,T,Epot,Efull,
4.56e-012,278.678,-3109.92,1776.79,
4.57e-012,284.022,-3220.81,1759.61,
4.58e-012,269.404,-2937.48,1786.6,
4.59e-012,274.255,-2996.88,1812.28,
4.6e-012,280.182,-3063.02,1850.06,
4.61e-012,282.759,-3117.83,1840.45,
4.62e-012,291.496,-3328.94,1782.54,
4.63e-012,284.59,-3229.27,1761.11,
4.64e-012,279.699,-3148.85,1755.76,
4.65e-012,278.087,-3098.26,1778.08,
4.66e-012,278.885,-3052.25,1838.09,
4.67e-012,281.544,-3100.25,1836.71,
4.68e-012,282.838,-3079.12,1880.53,
4.69e-012,276.803,-2925.46,1928.37,
4.7e-012,285.342,-3082.61,1920.95,
4.71e-012,287.543,-3105.82,1936.34,
4.72e-012,277.64,-2875.96,1992.55,
4.73e-012,284.712,-2977.47,2015.05,
4.74e-012,287.367,-3022.47,2016.6,
4.75e-012,283.608,-2932.9,2040.25,
4.76e-012,287.685,-2995.65,2049,
4.77e-012,290.032,-3010.29,2075.51,
4.78e-012,280.752,-2826.01,2097.06,
4.79e-012,292.75,-3025.68,2107.78,
4.8e-012,291.954,-2989.37,2130.13,
4.81e-012,285.399,-2874.36,2130.2,
4.82e-012,299.586,-3118.72,2134.62,
4.83e-012,288.653,-2892.7,2168.93,
4.84e-012,293.239,-2979.52,2162.52,
4.85e-012,298.927,-3084.24,2157.53,
4.86e-012,298.668,-3075.31,2161.92,
4.87e-012,298.039,-3093.44,2132.78,
4.88e-012,298.289,-3091.57,2139.03,
4.89e-012,293.64,-2981.56,2167.5,
4.9e-012,293.624,-2966.71,2182.07,
4.91e-012,298.06,-3019.39,2207.18,
4.92e-012,289.517,-2809.71,2267.06,
4.93e-012,306.457,-3102.3,2271.52,
4.94e-012,299.812,-2999.44,2257.85,
4.95e-012,293.531,-2873.65,2273.51,
4.96e-012,300.722,-2968.96,2304.29,
4.97e-012,292.467,-2765.36,2363.13,
4.98e-012,299.301,-2847.15,2401.18,
4.99e-012,306.26,-2965.02,2405.35,
5e-012,298.411,-2803.58,2429.15,
5.01e-012,301.068,-2855.01,2424.31,
5.02e-012,301.349,-2857.22,2427.02,
5.03e-012,296.122,-2755.18,2437.42,
5.04e-012,296.306,-2763.14,2432.68,
5.05e-012,292.897,-2701.86,2434.18,
5.06e-012,296.484,-2755.37,2443.56,
5.07e-012,303.062,-2871.35,2442.93,
5.08e-012,292.697,-2684.83,2447.71,
5.09e-012,298.214,-2776.71,2452.56,
5.1e-012,307.979,-2955.51,2445,
5.11e-012,301.601,-2845.17,2443.5,
5.12e-012,301.186,-2838.1,2443.29,
5.13e-012,305.622,-2918.65,2440.51,
5.14e-012,305.101,-2903.26,2446.78,
5.15e-012,301.672,-2845.79,2444.12,
5.16e-012,309.158,-2983.02,2438.16,
5.17e-012,294.22,-2706.58,2452.66,
5.18e-012,297.672,-2766.45,2453.32,
5.19e-012,305.085,-2897.57,2452.19,
5.2e-012,301.686,-2839.59,2450.57,
5.21e-012,298.132,-2783.52,2444.32,
5.22e-012,297.534,-2772.16,2445.2,
5.23e-012,299.077,-2798.26,2446.14,
5.24e-012,297.817,-2777.78,2444.52,
5.25e-012,302.792,-2865.26,2444.28,
5.26e-012,290.714,-2649.06,2448.7,
5.27e-012,295.755,-2734.75,2451.4,
5.28e-012,297.094,-2747.37,2462.26,
5.29e-012,299.023,-2775.31,2468.15,
5.3e-012,309.298,-2961.64,2462.01,
5.31e-012,303.863,-2861.96,2466.37,
5.32e-012,303.38,-2857.88,2461.99,
5.33e-012,307.153,-2927.88,2458.14,
5.34e-012,297.826,-2763.21,2459.26,
5.35e-012,300.604,-2807.94,2463.24,
5.36e-012,301.553,-2825.95,2461.87,
5.37e-012,291.923,-2649.42,2469.54,
5.38e-012,295.513,-2704.63,2477.28,
5.39e-012,297.054,-2720.36,2488.56,
5.4e-012,298.64,-2741.95,2494.79,
5.41e-012,303.339,-2834.57,2484.57,
5.42e-012,301.948,-2808.71,2486.04,
5.43e-012,301.109,-2792.1,2487.94,
5.44e-012,307.058,-2901.64,2482.71,
5.45e-012,303.994,-2839.31,2491.32,
5.46e-012,307.768,-2908.65,2488.15,
5.47e-012,309.633,-2948.89,2480.62,
5.48e-012,296.208,-2704.36,2489.73,
5.49e-012,306.951,-2894.1,2488.37,
5.5e-012,306.171,-2877.54,2491.26,
5.51e-012,299.043,-2743.38,2500.43,
5.52e-012,299.971,-2762.02,2498.05,
5.53e-012,302.514,-2799.49,2505.19,
5.54e-012,299.054,-2735.74,2508.26,
5.55e-012,297.522,-2711.06,2506.07,
5.56e-012,300.207,-2750.53,2513.69,
5.57e-012,301.738,-2773.51,2517.56,
5.58e-012,309.599,-2920.95,2507.95,
5.59e-012,306.99,-2877.51,2505.65,
5.6e-012,300.01,-2761,2499.77,
5.61e-012,292.222,-2621.7,2502.51,
5.62e-012,294.208,-2643.24,2515.78,
5.63e-012,299.17,-2732.95,2513.08,
5.64e-012,306.414,-2864.48,2508.58,
5.65e-012,301.44,-2766.16,2519.68,
5.66e-012,300.533,-2752.39,2517.54,
5.67e-012,304.715,-2824.26,2519.01,
5.68e-012,291.906,-2591.82,2526.83,
5.69e-012,305.164,-2825.02,2526.13,
5.7e-012,297.921,-2689.99,2534.15,
5.71e-012,303.662,-2784.56,2540.25,
5.72e-012,309.927,-2901.32,2533.34,
5.73e-012,307.001,-2847.41,2535.94,
5.74e-012,299.332,-2709.82,2539.06,
5.75e-012,296.912,-2668.69,2537.76,
5.76e-012,303.247,-2772.57,2544.97,
5.77e-012,303.059,-2767.23,2547,
5.78e-012,304.523,-2796.29,2543.61,
5.79e-012,298.097,-2678.44,2548.78,
5.8e-012,296.687,-2651.99,2550.5,
5.81e-012,301.57,-2735.31,2552.82,
5.82e-012,301.137,-2725,2555.53,
5.83e-012,305.959,-2816.95,2548.14,
5.84e-012,308.801,-2871.62,2543.29,
5.85e-012,301.83,-2750.39,2542.29,
5.86e-012,301.543,-2745.61,2542.04,
5.87e-012,297.562,-2665.15,2552.69,
5.88e-012,295.139,-2618.7,2556.66,
5.89e-012,300.878,-2720.86,2555.12,
