step,T,Epot,Efull,
9.82e-012,301.067,-6962.5,-1968.56,
9.84e-012,298.098,-6879.37,-1934.68,
9.86e-012,303.498,-6993.27,-1959,
9.88e-012,304.021,-6995.37,-1952.45,
9.9e-012,302.72,-6961.85,-1940.51,
9.92e-012,300.548,-6901.28,-1915.96,
9.94e-012,296.884,-6843.68,-1919.14,
9.96e-012,294.837,-6792.02,-1901.44,
9.98e-012,298.37,-6853.95,-1904.76,
1e-011,294.435,-6787.74,-1903.81,
1.002e-011,299.997,-6900.36,-1924.18,
1.004e-011,296.078,-6840.6,-1929.43,
1.006e-011,300.136,-6967.1,-1988.6,
1.008e-011,297.306,-6910.57,-1979.03,
1.01e-011,296.245,-6899.98,-1986.03,
1.012e-011,297.302,-6905.65,-1974.16,
1.014e-011,308.81,-7100.34,-1977.96,
1.016e-011,305.64,-7003.68,-1933.88,
1.018e-011,298.867,-6939.6,-1982.16,
1.02e-011,302.56,-6998.82,-1980.13,
1.022e-011,294.602,-6840.63,-1953.93,
1.024e-011,291.267,-6777.83,-1946.45,
1.026e-011,303.491,-7005.34,-1971.2,
1.028e-011,298.492,-6946.34,-1995.13,
1.03e-011,296.05,-6880.4,-1969.69,
1.032e-011,297.267,-6894.39,-1963.49,
1.034e-011,296.369,-6925.65,-2009.65,
1.036e-011,292.911,-6803.75,-1945.1,
1.038e-011,300.38,-6909,-1926.46,
1.04e-011,296.646,-6871.05,-1950.45,
1.042e-011,303.141,-6997.7,-1969.37,
1.044e-011,306.273,-7031.08,-1950.79,
1.046e-011,301.968,-6975.8,-1966.92,
1.048e-011,302.454,-7010.96,-1994.02,
1.05e-011,303.097,-7042.96,-2015.35,
1.052e-011,302.053,-6989.74,-1979.46,
1.054e-011,300.456,-7002.21,-2018.41,
1.056e-011,300.926,-7015.39,-2023.79,
1.058e-011,299.158,-6941.5,-1979.24,
1.06e-011,300.917,-6973.47,-1982.03,
1.062e-011,298.067,-7006.01,-2061.83,
1.064e-011,298.09,-6938.35,-1993.79,
1.066e-011,298.648,-6961.83,-2008.02,
1.068e-011,297.192,-6933.52,-2003.86,
1.07e-011,306.344,-7126.79,-2045.33,
1.072e-011,294.716,-6872.24,-1983.65,
1.074e-011,296.185,-6853.35,-1940.4,
