step,T,sn_vel[0],sn_vel[1],sn_vel[2],sn_crd[0],sn_crd[1],sn_crd[2],target_crd[0],target_crd[1],target_crd[2]
2880,165.006,0,0,0,0,0,0.5,-0.000844635,0.066043,0.0105139
2890,160.715,0,0,0,0,0,0.5,-0.00155812,0.0658183,0.00990744
2900,183.315,0,0,0,0,0,0.5,-0.00133376,0.0662182,0.0100112
2910,169.557,0,0,0,0,0,0.5,-0.000165706,0.0668112,0.0106903
2920,176.141,0,0,0,0,0,0.5,0.000723207,0.0667476,0.0107063
2930,177.36,0,0,0,0,0,0.5,0.000672039,0.0663693,0.0100504
2940,167.166,0,0,0,0,0,0.5,0.000346811,0.0665121,0.00904346
2950,185.424,0,0,0,0,0,0.5,-3.09848e-005,0.0675225,0.00866179
2960,178.008,0,0,0,0,0,0.5,-0.000787553,0.0684011,0.0088946
2970,164.947,0,0,0,0,0,0.5,-0.00141577,0.0687743,0.00958146
2980,170.442,0,0,0,0,0,0.5,-0.00132642,0.0690595,0.00967414
2990,175.31,0,0,0,0,0,0.5,-0.000736051,0.0698185,0.00902599
3000,167.875,0,0,0,0,0,0.5,-8.66921e-005,0.0701838,0.0078676
3010,165.483,0,0,0,0,0,0.5,0.000231655,0.0702765,0.00735101
3020,176.121,0,0,0,0,0,0.5,0.00055737,0.0705444,0.00777752
3030,177.502,0,0,0,0,0,0.5,0.00124079,0.070958,0.00870771
3040,155.519,0,0,0,0,0,0.5,0.00157989,0.070785,0.00906338
3050,176.044,0,0,0,0,0,0.5,0.000525986,0.0708026,0.00871516
3060,174.514,0,0,0,0,0,0.5,-0.000576137,0.071188,0.008202
3070,172.083,0,0,0,0,0,0.5,-0.000617192,0.0714783,0.0081778
3080,184.333,0,0,0,0,0,0.5,-0.000369872,0.0710743,0.00871968
3090,178.504,0,0,0,0,0,0.5,-0.000979586,0.0708,0.0093989
3100,172.011,0,0,0,0,0,0.5,-0.00168696,0.0708677,0.00958105
3110,183.327,0,0,0,0,0,0.5,-0.00183181,0.0712108,0.0089762
3120,177.701,0,0,0,0,0,0.5,-0.00121005,0.0712826,0.00824176
3130,176.309,0,0,0,0,0,0.5,-0.000501852,0.0712665,0.00831982
3140,197.635,0,0,0,0,0,0.5,-0.000287781,0.071438,0.00933336
3150,170.892,0,0,0,0,0,0.5,-0.000295378,0.0719723,0.0101808
3160,176.72,0,0,0,0,0,0.5,0.000134193,0.0722802,0.0102036
3170,185.616,0,0,0,0,0,0.5,0.000195353,0.0722502,0.00978951
3180,174.233,0,0,0,0,0,0.5,-0.000479199,0.0721568,0.00993045
3190,181.866,0,0,0,0,0,0.5,-0.00113745,0.0723119,0.0105526
3200,177.578,0,0,0,0,0,0.5,-0.00154236,0.0726361,0.0109189
3210,189.211,0,0,0,0,0,0.5,-0.00240333,0.0729254,0.0105257
3220,200.791,0,0,0,0,0,0.5,-0.00295337,0.0730923,0.00993934
3230,182.31,0,0,0,0,0,0.5,-0.00219207,0.0730711,0.00955049
3240,174.029,0,0,0,0,0,0.5,-0.00101455,0.0729709,0.00964681
3250,177.048,0,0,0,0,0,0.5,-0.00076504,0.072717,0.0103867
3260,176.267,0,0,0,0,0,0.5,-0.000922321,0.0725697,0.0113851
3270,180.582,0,0,0,0,0,0.5,-0.000834072,0.0721788,0.0117077
3280,197.464,0,0,0,0,0,0.5,-0.000904231,0.0717196,0.0111417
3290,187.899,0,0,0,0,0,0.5,-0.00133195,0.0715896,0.0106291
3300,188.972,0,0,0,0,0,0.5,-0.00177167,0.0723664,0.0110966
3310,191.637,0,0,0,0,0,0.5,-0.00206992,0.0729973,0.0124117
3320,174.448,0,0,0,0,0,0.5,-0.00201496,0.0729681,0.0135423
3330,196.962,0,0,0,0,0,0.5,-0.00168285,0.0723182,0.0139466
3340,185.568,0,0,0,0,0,0.5,-0.0017577,0.0720473,0.0140956
3350,185.228,0,0,0,0,0,0.5,-0.00193108,0.0718998,0.014524
3360,231.49,0,0,0,0,0,0.5,-0.0016863,0.0720796,0.0149055
3370,191.072,0,0,0,0,0,0.5,-0.00161148,0.0723154,0.0148943
3380,204.435,0,0,0,0,0,0.5,-0.00183475,0.072605,0.0143203
3390,215.917,0,0,0,0,0,0.5,-0.00123569,0.0718603,0.0134209
3400,178.787,0,0,0,0,0,0.5,-0.000651503,0.0704871,0.0127253
